song_id,title,artist,genre,mood
e0576107,His A Fear,Olivia Wilson,Country,Angry
c99c5504,Fear,Evelyn,Hip Hop,Romantic
6ccca8b5,Harmony Their Story,Jane Smith,R&B,Chill
b6701593,Day,Henry,Classical,Energetic
3eb37d7a,A Journey Night,Neon Foxes,Country,Melancholic
46e3ad26,Story Mountain,Daniel,Metal,Sad
0fa16598,Trust,James Moore,Jazz,Melancholic
333cc8ec,Day,Emma Williams,Country,Peaceful
48e2ed99,Her Fire,Harper Moore,R&B,Melancholic
b13e51b3,Doubt,Amelia Jones,Classical,Energetic
fad1f071,Their Journey,Matthew Clark,Hip Hop,Angry
b14666a3,Water Adventure Night,Royal Tigers,R&B,Chill
15680eba,Time Sorrow River,Elizabeth,R&B,Melancholic
dc89d475,Her,William Harris,Jazz,Chill
993518ae,Water Dream Fire,Evelyn,Electronic,Happy
6c63138a,Trust Faith,Royal Bears,Classical,Romantic
b7b6168c,Doubt Sky Dream,Benjamin Moore,Rock,Angry
c797b0a9,Trust Journey Time,Crystal Tigers,R&B,Chill
62db050b,My,Benjamin Moore,Electronic,Sad
dd8ac203,Day,Crystal Hawks,Rock,Romantic
bb640be8,Melody Wind Memory,David Moore,Classical,Peaceful
71255334,Sky,Midnight Phantoms,Pop,Peaceful
b7fba5d9,Wind Water Time,Henry,Metal,Sad
19fe47d8,Their Joy,Elizabeth,Electronic,Melancholic
ad04da4b,Heart,Cosmic Phantoms,Indie,Romantic
f8364309,Our Earth Tale,Henry Moore,Pop,Chill
c8a73c2f,The Faith Doubt,Evelyn,Metal,Romantic
4ece572e,Joy Mountain Sorrow,Crystal Wolves,Jazz,Melancholic
a78e56e3,Mind Dream,John Lee,Country,Energetic
dc3f19f6,Ocean Rhythm Joy,Henry,Hip Hop,Angry
1f18f39d,Reality,Matthew Clark,Indie,Sad
69e42166,Tale Night Heart,Daniel Davis,Jazz,Melancholic
bde91bec,Sorrow Beat The,Crystal Spirits,Classical,Energetic
ce53f412,His,Joseph Allen,Jazz,Romantic
1b82b47c,Sky Your,Joseph,Country,Romantic
cc35bf4b,Their Doubt Melody,Daniel,Classical,Melancholic
88117411,Sorrow Love Hope,Amelia Davis,Indie,Chill
546d03ed,Beat Tale,Robert Wright,Country,Romantic
b4e8b9e4,Joy Doubt Trust,Jack,Rock,Chill
e85851b8,Wind Hope,Velvet Shadows,Hip Hop,Chill
529070ae,Body His Sky,Michael,Indie,Angry
18d50e9b,A Story,Silent Foxes,Rock,Chill
85d9fab1,Our,Electric Foxes,Metal,Happy
24414268,My,Michael Thompson,Indie,Angry
a72e4899,Mountain,Wild Hawks,Metal,Energetic
4c3604ea,Love Doubt Adventure,Wild Foxes,Classical,Energetic
8b540235,Pleasure Soul,Emma,Rock,Romantic
29bb8b9f,Hope,Isabella White,Hip Hop,Romantic
9df868de,Dance Doubt,Evelyn,Country,Chill
e78167e5,Memory Her Your,Abigail Anderson,R&B,Angry
6a9a0d75,Sky,Robert,Jazz,Angry
28b2c693,Body Love Mind,William,Pop,Happy
d8a22aff,Sky Our,Emily Young,Hip Hop,Chill
24d77f43,Her Your Memory,The Eagles,Rock,Happy
2bbe53eb,Dream,Charlotte Martin,R&B,Peaceful
2f2dbddd,Wind,Sophia,Hip Hop,Chill
02b1f610,The Earth,Sofia Hall,Rock,Sad
f86a72a4,River Mind,Wild Lions,Electronic,Sad
f674ee07,River,Jane,Electronic,Melancholic
82baf3fe,Fear Harmony Your,Crystal Tigers,Metal,Chill
79ea1054,Story,Henry Wright,Hip Hop,Angry
40fcfb42,Dream Your Rhythm,Elizabeth,Electronic,Romantic
6d3f11ca,Our,Royal Foxes,Rock,Energetic
d1738cb1,His Adventure,Alexander,Metal,Melancholic
3031fd7d,My Fantasy Their,Evelyn Martinez,Rock,Romantic
628d42ac,Beat Sun Ocean,Evelyn,Metal,Sad
2d8aed3f,Sun Sky Ocean,David Rodriguez,Hip Hop,Chill
e239d065,Star Dance Sun,John,R&B,Melancholic
c69ad08e,Fantasy Adventure,Michael,Country,Chill
cbb739a6,Day Rhythm Ocean,Sofia,Indie,Sad
a9118a21,Our Sky,Ava Davis,R&B,Melancholic
3e694af7,Harmony Belief,Harper Hall,Classical,Sad
9a19628f,Beat The Hope,Golden Wolves,Rock,Happy
c9ec24f4,Ocean,Joseph,Classical,Sad
3a7d9dc5,Fear,Savage Serpents,R&B,Angry
0c8e599d,Tale Day,Crystal Hawks,Metal,Angry
296ab7d7,Reality Ocean Rhythm,William King,Indie,Chill
7942a7d9,Their,Neon Serpents,Indie,Energetic
4557ff0b,The,Daniel Brown,Pop,Sad
bb91ca96,Ocean Dream Fear,Amelia Lewis,Indie,Romantic
177cf603,Journey The,Michael,Country,Angry
0104df81,Heart Harmony My,Alexander Garcia,Indie,Peaceful
6c958fae,Mind,Jane,R&B,Energetic
f26a7861,Water Pain,Joseph,Pop,Happy
dfed36c3,Day Faith,Evelyn,R&B,Melancholic
723193e3,Fire,Neon Lions,R&B,Melancholic
5017ccd7,Dream,Joseph,Jazz,Angry
0338b260,A Life,Crystal Phantoms,Pop,Energetic
0d4507ef,Fear Pleasure Sky,Sophia Hall,R&B,Angry
0da4bee1,Her Earth My,Olivia Miller,Jazz,Melancholic
cf0e622d,Fire Star,Olivia,Jazz,Peaceful
9c4abc08,Hope,Benjamin,Pop,Sad
f51726c8,Mountain Our,Isabella Clark,Classical,Energetic
038ff8e8,Wind Faith Harmony,John Jones,Metal,Chill
625397eb,Life Story,Jane Jones,Country,Sad
793d0127,Mind Fire Doubt,Mia Robinson,Metal,Sad
59f53d55,His Earth Adventure,William,Indie,Sad
b1e02929,Belief,John Thompson,Country,Chill
c5869317,Faith Doubt Fear,Urban Owls,Indie,Peaceful
1146ba6b,Our Hope,Harper Anderson,R&B,Happy
67813877,His Doubt Star,Golden Phantoms,Rock,Peaceful
e29922f5,Wind Trust,Amelia Brown,Pop,Peaceful
ba96acb6,Soul,Silver Bears,Country,Peaceful
a95e8825,Adventure Star Wind,The Panthers,Country,Romantic
2fed0184,Day Mind,Crystal Shadows,R&B,Angry
02605c40,Body Faith,Henry,Classical,Melancholic
c5781053,Pain Fear,Evelyn,Jazz,Angry
174d6777,River,Crystal Eagles,R&B,Energetic
20295eb9,Faith,Olivia Hall,Electronic,Peaceful
80271134,Heart,Jane,Jazz,Happy
a7a138cf,Song,Royal Shadows,Pop,Energetic
07b0d368,Reality Adventure,Jack,Jazz,Angry
42798056,Earth Melody Wind,David,Classical,Melancholic
f82df2a1,Trust The Joy,Daniel,Jazz,Chill
098fecfd,Time Life,Phantom Tigers,Pop,Angry
edb2e97e,Sky His Dance,Emily,Classical,Sad
d54d738c,Hope Beat,Crystal Shadows,Metal,Angry
95d16cae,Doubt Rhythm Mind,Phantom Bears,Country,Sad
9418d3f4,Song Body Ocean,Matthew,Country,Chill
1c65d2bd,Mountain Sorrow Beat,Sebastian Wilson,Indie,Angry
a56fabde,Body Our,Golden Foxes,Metal,Happy
14f96342,Moon Sun,Royal Lions,Metal,Happy
5f22d195,Time,Jack Brown,Jazz,Energetic
292d8119,Day Our Soul,James Garcia,Country,Chill
766e3a43,Soul Your,Matthew,Pop,Peaceful
e3b3464c,Earth Sorrow,The Ghosts,Hip Hop,Happy
f8b7229c,The Fire,Daniel Jackson,Hip Hop,Angry
a1e2a8a7,Harmony Fear,Silent Spirits,Classical,Chill
bb58e6fa,Mountain,Charlotte Smith,Country,Melancholic
23313801,Moon Hope,Silver Bears,Country,Sad
9d0f3629,Love Fantasy,The Ghosts,Hip Hop,Angry
2b434a93,Adventure Hope A,Sebastian,Country,Sad
090c1446,Love Dance,Jane,Jazz,Sad
313468c0,Earth Sun,Lucas,Electronic,Peaceful
88e63c55,Moon Joy,William Walker,Rock,Chill
ffe08607,Ocean Their,John Lee,Metal,Chill
823a4147,Your Fire Time,Royal Tigers,Indie,Energetic
3b0f2b53,Sky,Matthew,Classical,Sad
c433e37e,Fantasy,Olivia,Electronic,Energetic
3bc89fc6,Song,Mystic Hawks,Hip Hop,Peaceful
2c680dbe,Trust Ocean,Sophia Robinson,Metal,Sad
549162c6,Fear Belief His,Ava,Country,Energetic
4d1aac6c,Story,Sofia,Indie,Energetic
35e125f1,Adventure Faith,Benjamin Lewis,Country,Melancholic
f549c3da,Our,Silent Wolves,Pop,Energetic
9bd764ba,Sorrow Star Faith,Mystic Tigers,Pop,Chill
5f952801,Harmony Mind,Velvet Eagles,Indie,Energetic
e8e82ba1,Memory Moon The,Matthew Martin,Indie,Sad
f6b34e87,Mind,Sebastian King,Hip Hop,Energetic
9a7e32c2,Belief Heart,Sophia Lee,Indie,Happy
9bc4b11c,Memory Mountain Fantasy,Wild Shadows,Jazz,Romantic
61a4a478,Doubt Story,James Young,Country,Sad
3ab0c60e,Their,Joseph Harris,Electronic,Happy
2c8f4bee,Joy,Alexander Robinson,R&B,Peaceful
35b9412d,Earth Moon A,Elizabeth Anderson,Indie,Sad
1a0fef47,Melody,Isabella,Classical,Chill
5b875709,Moon Mountain,Midnight Dragons,Pop,Romantic
370098e6,Night Their Sky,Neon Spirits,Jazz,Romantic
e071d761,Joy Sky Trust,Sebastian Lewis,Metal,Chill
3f58c5c4,Body Pain,Michael,R&B,Romantic
c05b1977,Time Wind,Silent Panthers,Electronic,Chill
ec8c656a,Story Water Song,Velvet Phantoms,R&B,Happy
f59332e5,Journey Moon Fire,Phantom Serpents,Indie,Peaceful
734b7e99,Ocean Time,Abigail,Hip Hop,Melancholic
0f8f7216,Sun,Abigail,Pop,Sad
40e846b5,Joy Trust Life,Robert,Pop,Chill
169f12e3,Song Mountain Doubt,Golden Wolves,Metal,Sad
5bf8cbb4,River,Isabella,Hip Hop,Peaceful
6b90632a,Star,Jack,Country,Happy
91e9db05,Love Mountain My,Amelia,Rock,Melancholic
30fb53fe,Trust Love,Wild Wolves,Jazz,Peaceful
a9c628dc,Adventure,Charlotte Martin,Pop,Happy
4593fd95,Moon Life,William,Classical,Romantic
0aa8beda,His Our,Charlotte Williams,Pop,Sad
c8cfe6ec,Reality Faith Your,David,R&B,Angry
d152409d,Star Their Sky,Amelia,Pop,Melancholic
2faa2d23,Tale Pain,Silent Ghosts,Pop,Romantic
15ccac66,Body Star,Neon Panthers,Rock,Peaceful
85f87a92,Fantasy Your Fear,Daniel,Rock,Melancholic
6da75597,Reality,William,Electronic,Romantic
17dfd52d,Their Dream Sky,Amelia,Country,Happy
16d66ea9,Dream,Mia,Classical,Chill
4a2aee49,Trust Tale,Ava Johnson,Pop,Sad
8874d75e,River,Golden Shadows,Pop,Energetic
32a34eb9,Faith,Sofia,Jazz,Energetic
a86ccd3e,Pain Reality,Urban Phantoms,Rock,Happy
e4d88485,Harmony,Sebastian,Classical,Peaceful
af024d0c,Mountain,Michael,Metal,Sad
ea1afe78,Dream,Harper Lee,Electronic,Peaceful
84c4a40b,River Body His,Jack Taylor,Country,Sad
824a7c68,Wind Mountain Rhythm,Wild Shadows,Hip Hop,Happy
03cf7122,Tale,Joseph,Country,Sad
cb57823b,Fear Sun,Midnight Dragons,R&B,Chill
d4af2d18,Time,The Serpents,Pop,Peaceful
b564cde5,My Joy Life,Henry Clark,Electronic,Happy
86cdb8f6,Mountain Life,Neon Spirits,R&B,Chill
0dc86b3a,Song,Mia Anderson,Classical,Sad
ae91db2d,Hope Her,James,Hip Hop,Happy
06d2224a,Trust Melody,Evelyn Jackson,Rock,Sad
cf1347f8,My Dance Their,William Anderson,Electronic,Peaceful
6d47e8ff,Sorrow,Elizabeth Thompson,Electronic,Happy
447469de,Hope,Phantom Phantoms,Pop,Sad
a42a3918,Night,Velvet Spirits,Indie,Peaceful
2aba808c,Body Joy Your,William,Electronic,Chill
0df0461e,Love River Body,Wild Wolves,Jazz,Angry
7b799a3c,Reality,Silent Bears,Hip Hop,Chill
0db07d96,Journey The,Neon Eagles,Hip Hop,Sad
3fc019f3,His,Emma Clark,Jazz,Happy
e61ae784,Melody,Golden Serpents,Metal,Energetic
5731fc6e,Song Sky,Amelia Brown,Jazz,Chill
02c22ee0,Night Tale,Savage Eagles,Jazz,Chill
050aa6ef,Sorrow Pain,James Wright,Hip Hop,Peaceful
9bc59bf7,Mountain The River,Golden Spirits,Country,Romantic
0b0c0ef6,Body,Wild Owls,Hip Hop,Energetic
ee5d78c8,Journey Joy,Silver Shadows,Indie,Sad
efa919b4,Night Trust,Alexander,Pop,Angry
5e015e1d,Time Sorrow,Jane Anderson,R&B,Happy
06e40f50,Song Belief Pleasure,Benjamin Rodriguez,Country,Romantic
80aa8213,Heart Melody My,Henry,Rock,Sad
1cdf3d1a,Moon Her Body,Henry,R&B,Melancholic
a01ed50f,The Doubt,Mia,Pop,Angry
f0e49cd2,Heart Our Song,James Robinson,Indie,Chill
8e074bd2,Wind Memory Their,Elizabeth Rodriguez,Indie,Melancholic
5f86ddde,Earth Sun Reality,Wild Tigers,Rock,Chill
95bf48fb,Our Sky Reality,Golden Foxes,Country,Chill
16519d76,Their Mind Her,Mystic Shadows,Metal,Melancholic
1b7e9901,Trust,Joseph Smith,Jazz,Angry
102a881f,Sun,Ava,Country,Peaceful
fa273f82,Water Mind,Olivia,Metal,Melancholic
90b2cc90,Soul Adventure Faith,Sophia,Indie,Sad
0bda6f2f,Their,Silver Foxes,Hip Hop,Romantic
be78fb36,Story Heart,Lucas,Pop,Romantic
c9b0cf49,Ocean Dance Hope,Joseph,Rock,Melancholic
1df33174,River Faith,Cosmic Eagles,Pop,Sad
44171fe6,Fire Story,Sebastian White,Classical,Peaceful
e259af25,Ocean Dance Star,Benjamin,Classical,Romantic
42b9a539,Her Sky,Alexander Thomas,Country,Sad
62b975c9,River Trust A,Silver Serpents,Indie,Peaceful
47eae094,Adventure,Electric Spirits,Indie,Sad
15a73f48,Sorrow Pleasure,Harper,Jazz,Chill
